person,categoria,genero,agno_nacimiento
Colombina Parra,Cultura & Ciencia,femenino,1970
Juanita Parra,Cultura & Ciencia,femenino,1970
Alejandra Herrera,Cultura & Ciencia,femenino,1971
Magdalena Matthey,Cultura & Ciencia,femenino,1971
Valeria Zalaquett,Cultura & Ciencia,femenino,1971
Voluspa Jarpa,Cultura & Ciencia,femenino,1971
Ángela Contreras,Cultura & Ciencia,femenino,1971
Cathy Barriga,Cultura & Ciencia,femenino,1973
Francisca Merino,Cultura & Ciencia,femenino,1973
Catalina Pulido,Cultura & Ciencia,femenino,1974
Carolina Nissen,Cultura & Ciencia,femenino,1976
Daniela Aleuy,Cultura & Ciencia,femenino,1976
María José Prieto,Cultura & Ciencia,femenino,1977
Bárbara Ruiz-Tagle,Cultura & Ciencia,femenino,1979
Gabriela Barros,Cultura & Ciencia,femenino,1980
Albertina Martínez Burgos,Cultura & Ciencia,femenino,1981
Carolina Molina (cantante),Cultura & Ciencia,femenino,1981
Elisa Zulueta,Cultura & Ciencia,femenino,1981
